,Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giám2,
0,8/5/2020,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",4,5 phòng,46,10,4.6,"86,96 triệu",
1,8/5/2020,"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",4,3 phòng,37,10,3.7,"116,22 triệu",
2,8/5/2020,"phố minh khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",4,4 phòng,40,10,4,65 triệu,
3,8/5/2020,"Đường Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",4,6 phòng,50,10,5,100 triệu,
4,8/5/2020,"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",4,4 phòng,36,9,4,"86,11 triệu",
5,8/5/2020,"Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",4,4 phòng,46,10,4.6,"104,35 triệu",
6,8/5/2020,"Đường Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",4,3 phòng,52,13,4,"112,5 triệu",
7,8/5/2020,"Đường Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Đống Mác,"Nhà mặt phố, mặt tiền",6,5 phòng,32,10,3.2,"184,38 triệu",
8,8/5/2020,"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",6,4 phòng,75,12,6.25,120 triệu,
9,8/5/2020,"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",4,3 phòng,41,10,4.1,"64,63 triệu",
10,8/5/2020,"Đường Tựu Liệt, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Thị trấn Văn Điển,"Nhà ngõ, hẻm",4,3 phòng,35,10,3.5,"45,71 triệu",
11,8/5/2020,"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",5,4 phòng,30,10,3,"83,33 triệu",
12,8/5/2020,"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",5,4 phòng,52,13,4,"93,27 triệu",
13,8/5/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",5,5 phòng,50,10,5,86 triệu,
14,8/5/2020,"Đường Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",5,4 phòng,53,10,5.3,75 triệu,
15,8/5/2020,"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",5,4 phòng,52,10,5.2,"93,27 triệu",
16,8/5/2020,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",5,3 phòng,30,10,3,75 triệu,
17,8/5/2020,"Đường Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Phường Phúc Tân,"Nhà mặt phố, mặt tiền",7,3 phòng,165,22,7.5,"103,03 triệu",
18,8/4/2020,"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",2,3 phòng,70,14,5,"102,86 triệu",
19,8/4/2020,"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",2,3 phòng,34,10,3.4,"82,35 triệu",
20,8/4/2020,"Đường Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",5,3 phòng,32,10,3.2,"51,56 triệu",
21,8/4/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",5,6 phòng,65,13,5,"75,38 triệu",
22,8/4/2020,"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",5,4 phòng,45,12,3.75,"64,44 triệu",
23,8/4/2020,"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",5,4 phòng,79,20,3.95,"112,66 triệu",
24,8/4/2020,"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",5,5 phòng,90,20,4.5,"108,89 triệu",
25,8/4/2020,"Đường Đồng Me, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",5,5 phòng,73,16,4.5625,"106,85 triệu",
26,8/4/2020,"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",5,6 phòng,52,13,4,250 triệu,
27,8/4/2020,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",5,8 phòng,40,10,4,"107,5 triệu",
28,8/4/2020,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",5,3 phòng,45,12,3.75,"133,33 triệu",
29,8/4/2020,"180/61/5, Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Tây Mỗ,"Nhà ngõ, hẻm",4,3 phòng,32,8,4,"60,94 triệu",
30,8/4/2020,"Đường Núi Trúc, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Khánh,"Nhà ngõ, hẻm",4,2 phòng,18,8,2.25,"69,44 triệu",
